Brand,Origin,Characteristics,Preparation Method
Ethiopian Heirloom,Serra Negra,Sweet Aftertaste,Hario V60
Villalobos,Fazenda Primavera,Floral,Clever
Java,Patrocínio,Spicy,French Press
Blue Mountain,Fazenda Paraíso,Balanced,Italiana
Kona,Serra Negra,Chocolatey,Espresso
Typica,Guaxupé,Spicy,Hario V60
Bourbon,Varginha,Balanced,Clever
Caturra,Fazenda Monte Verde,Spicy,French Press
Catuai,Lavras,Floral,Italiana
SL28,Fazenda Serrinha,Earthy,Espresso
SL34,Fazenda Primavera,Bright Acidity,Hario V60
Pacamara,Fazenda Monte Verde,Floral,Clever
Gesha,Araguari,Spicy,French Press
Maragogipe,Carmo de Minas,Smooth Finish,Italiana
Mundo Novo,Fazenda Paraíso,Smooth Finish,Espresso
Yellow Bourbon,Varginha,Floral,Hario V60
Red Bourbon,Itamogi,Fruity,Clever
Ethiopian Heirloom,Fazenda Santa Clara,Spicy,French Press
Villalobos,Fazenda Paraíso,Chocolatey,Italiana
Java,Fazenda Serrinha,Rich Flavor,Espresso
Blue Mountain,Araguari,Full Body,Hario V60
Kona,Fazenda Vista Alegre,Sweet Aftertaste,Clever
Typica,Varginha,Balanced,French Press
Bourbon,Poços de Caldas,Citrusy,Italiana
Caturra,Fazenda Boa Esperança,Smooth Finish,Espresso
Catuai,Guaxupé,Bright Acidity,Hario V60
SL28,Serra Negra,Rich Flavor,Clever
SL34,Fazenda Primavera,Floral,French Press
Pacamara,Santa Rita do Sapucaí,Fruity,Italiana
Gesha,Fazenda Paraíso,Smokey,Espresso
Maragogipe,Fazenda Boa Esperança,Chocolatey,Hario V60
Mundo Novo,Fazenda Monte Verde,Fruity,Clever
Yellow Bourbon,Araguari,Smooth Finish,French Press
Red Bourbon,Carmo de Minas,Earthy,Italiana
Ethiopian Heirloom,Guaxupé,Rich Flavor,Espresso
Villalobos,Fazenda Monte Verde,Smokey,Hario V60
Java,Fazenda Boa Esperança,Bright Acidity,Clever
Blue Mountain,Lavras,Smokey,French Press
Kona,Fazenda São Luiz,Caramel,Italiana
Typica,Carmo de Minas,Rich Flavor,Espresso
Bourbon,Poços de Caldas,Spicy,Hario V60
Caturra,Fazenda Boa Esperança,Sweet Aftertaste,Clever
Catuai,Lavras,Smokey,French Press
SL28,Carmo de Minas,Full Body,Italiana
SL34,Três Pontas,Floral,Espresso
Pacamara,Patrocínio,Fruity,Hario V60
Gesha,Fazenda Vista Alegre,Nutty,Clever
Maragogipe,Fazenda São Luiz,Fruity,French Press
Mundo Novo,Fazenda Serrinha,Floral,Italiana
Yellow Bourbon,Lavras,Caramel,Espresso
Red Bourbon,Itamogi,Bright Acidity,Hario V60
Ethiopian Heirloom,Fazenda Vista Alegre,Full Body,Clever
Villalobos,Fazenda Monte Verde,Sweet Aftertaste,French Press
Java,Poços de Caldas,Caramel,Italiana
Blue Mountain,Patrocínio,Citrusy,Espresso
Kona,Poços de Caldas,Rich Flavor,Hario V60
Typica,Poços de Caldas,Full Body,Clever
Bourbon,Fazenda Santa Clara,Smokey,French Press
Caturra,Itamogi,Spicy,Italiana
Catuai,Fazenda Paraíso,Spicy,Espresso
SL28,Lavras,Sweet Aftertaste,Hario V60
SL34,Itamogi,Smokey,Clever
Pacamara,São Sebastião do Paraíso,Smooth Finish,French Press
Gesha,Fazenda Santa Clara,Earthy,Italiana
Maragogipe,Fazenda Serrinha,Spicy,Espresso
Mundo Novo,Fazenda Primavera,Rich Flavor,Hario V60
Yellow Bourbon,Carmo de Minas,Citrusy,Clever
Red Bourbon,Itamogi,Sweet Aftertaste,French Press
Ethiopian Heirloom,Carmo de Minas,Nutty,Italiana
Villalobos,Varginha,Floral,Espresso
Java,Serra Negra,Chocolatey,Hario V60
Blue Mountain,Fazenda Primavera,Balanced,Clever
Kona,Carmo de Minas,Floral,French Press
Typica,Guaxupé,Smooth Finish,Italiana
Bourbon,São Sebastião do Paraíso,Fruity,Espresso
Caturra,Lavras,Floral,Hario V60
Catuai,Fazenda São Luiz,Rich Flavor,Clever
SL28,Serra Negra,Bright Acidity,French Press
SL34,Guaxupé,Earthy,Italiana
Pacamara,Carmo de Minas,Spicy,Espresso
Gesha,Três Pontas,Rich Flavor,Hario V60
Maragogipe,Patrocínio,Balanced,Clever
Mundo Novo,Fazenda Boa Esperança,Sweet Aftertaste,French Press
Yellow Bourbon,Serra Negra,Caramel,Italiana
Red Bourbon,Patrocínio,Smokey,Espresso
Ethiopian Heirloom,Três Pontas,Floral,Hario V60
Villalobos,Fazenda Santa Clara,Smokey,Clever
Java,Fazenda Monte Verde,Sweet Aftertaste,French Press
Blue Mountain,Carmo de Minas,Rich Flavor,Italiana
Kona,Patrocínio,Balanced,Espresso
Typica,Santa Rita do Sapucaí,Smooth Finish,Hario V60
Bourbon,Fazenda Vista Alegre,Smokey,Clever
Caturra,Patrocínio,Chocolatey,French Press
Catuai,Itamogi,Earthy,Italiana
SL28,Fazenda Santa Clara,Balanced,Espresso
SL34,Fazenda Vista Alegre,Fruity,Hario V60
Pacamara,Fazenda Vista Alegre,Caramel,Clever
Gesha,Poços de Caldas,Nutty,French Press
Maragogipe,Fazenda Serrinha,Smooth Finish,Italiana
Mundo Novo,Fazenda Primavera,Sweet Aftertaste,Espresso
Yellow Bourbon,Fazenda Primavera,Rich Flavor,Hario V60
Red Bourbon,Três Pontas,Rich Flavor,Clever
Ethiopian Heirloom,Itamogi,Chocolatey,French Press
Villalobos,Itamogi,Floral,Italiana
Java,Fazenda Paraíso,Citrusy,Espresso
Blue Mountain,Fazenda Vista Alegre,Citrusy,Hario V60
Kona,Patrocínio,Rich Flavor,Clever
Typica,Varginha,Fruity,French Press
Bourbon,Guaxupé,Fruity,Italiana
Caturra,Lavras,Spicy,Espresso
Catuai,Fazenda Santa Clara,Rich Flavor,Hario V60
SL28,Fazenda Primavera,Smooth Finish,Clever
SL34,São Sebastião do Paraíso,Rich Flavor,French Press
Pacamara,Lavras,Fruity,Italiana
Gesha,Varginha,Sweet Aftertaste,Espresso
Maragogipe,Carmo de Minas,Bright Acidity,Hario V60
Mundo Novo,Três Pontas,Nutty,Clever
Yellow Bourbon,Fazenda Paraíso,Balanced,French Press
Red Bourbon,São Sebastião do Paraíso,Smokey,Italiana
Ethiopian Heirloom,São Sebastião do Paraíso,Smooth Finish,Espresso
Villalobos,Patrocínio,Earthy,Hario V60
Java,Fazenda Vista Alegre,Bright Acidity,Clever
Blue Mountain,Fazenda Santa Clara,Chocolatey,French Press
Kona,Itamogi,Balanced,Italiana
Typica,Santa Rita do Sapucaí,Full Body,Espresso
Bourbon,Fazenda Vista Alegre,Bright Acidity,Hario V60
Caturra,Guaxupé,Caramel,Clever
Catuai,Fazenda Santa Clara,Smooth Finish,French Press
SL28,Serra Negra,Balanced,Italiana
SL34,Itamogi,Full Body,Espresso
Pacamara,Fazenda São Luiz,Floral,Hario V60
Gesha,Fazenda Santa Clara,Earthy,Clever
Maragogipe,Patrocínio,Chocolatey,French Press
Mundo Novo,Patrocínio,Caramel,Italiana
Yellow Bourbon,São Sebastião do Paraíso,Chocolatey,Espresso
Red Bourbon,Serra Negra,Rich Flavor,Hario V60
Ethiopian Heirloom,Fazenda São Luiz,Citrusy,Clever
Villalobos,Fazenda Serrinha,Bright Acidity,French Press
Java,São Sebastião do Paraíso,Smokey,Italiana
Blue Mountain,Patrocínio,Caramel,Espresso
Kona,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
Typica,Araguari,Floral,Clever
Bourbon,Fazenda Monte Verde,Smooth Finish,French Press
Caturra,Três Pontas,Full Body,Italiana
Catuai,Lavras,Smooth Finish,Espresso
SL28,Poços de Caldas,Fruity,Hario V60
SL34,Três Pontas,Citrusy,Clever
Pacamara,Poços de Caldas,Citrusy,French Press
Gesha,Fazenda Paraíso,Earthy,Italiana
Maragogipe,Patrocínio,Balanced,Espresso
Mundo Novo,Varginha,Spicy,Hario V60
Yellow Bourbon,Fazenda Paraíso,Sweet Aftertaste,Clever
Red Bourbon,Fazenda Paraíso,Citrusy,French Press
Ethiopian Heirloom,Varginha,Sweet Aftertaste,Italiana
Villalobos,São Sebastião do Paraíso,Smokey,Espresso
Java,São Sebastião do Paraíso,Full Body,Hario V60
Blue Mountain,Poços de Caldas,Balanced,Clever
Kona,Araguari,Smokey,French Press
Typica,São Sebastião do Paraíso,Smokey,Italiana
Bourbon,Araguari,Balanced,Espresso
Caturra,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
Catuai,Itamogi,Floral,Clever
SL28,Fazenda Boa Esperança,Caramel,French Press
SL34,Araguari,Smokey,Italiana
Pacamara,Fazenda Boa Esperança,Earthy,Espresso
Gesha,Fazenda Primavera,Smokey,Hario V60
Maragogipe,Fazenda Paraíso,Rich Flavor,Clever
Mundo Novo,Carmo de Minas,Citrusy,French Press
Yellow Bourbon,Patrocínio,Earthy,Italiana
Red Bourbon,Poços de Caldas,Caramel,Espresso
Ethiopian Heirloom,Fazenda Monte Verde,Floral,Hario V60
Villalobos,Carmo de Minas,Spicy,Clever
Java,Fazenda Vista Alegre,Smokey,French Press
Blue Mountain,Fazenda Santa Clara,Rich Flavor,Italiana
Kona,Itamogi,Nutty,Espresso
Typica,São Sebastião do Paraíso,Chocolatey,Hario V60
Bourbon,Fazenda Monte Verde,Chocolatey,Clever
Caturra,Araguari,Citrusy,French Press
Catuai,Poços de Caldas,Spicy,Italiana
SL28,Carmo de Minas,Chocolatey,Espresso
SL34,Fazenda Primavera,Nutty,Hario V60
Pacamara,Fazenda Serrinha,Smooth Finish,Clever
Gesha,Fazenda Paraíso,Earthy,French Press
Maragogipe,Patrocínio,Sweet Aftertaste,Italiana
Mundo Novo,Fazenda Boa Esperança,Floral,Espresso
Yellow Bourbon,Fazenda Primavera,Full Body,Hario V60
Red Bourbon,Santa Rita do Sapucaí,Spicy,Clever
Ethiopian Heirloom,Três Pontas,Chocolatey,French Press
Villalobos,Itamogi,Spicy,Italiana
Java,Fazenda Vista Alegre,Nutty,Espresso
Blue Mountain,Fazenda São Luiz,Smooth Finish,Hario V60
Kona,Serra Negra,Fruity,Clever
Typica,Itamogi,Earthy,French Press
Bourbon,Fazenda Vista Alegre,Bright Acidity,Italiana
Caturra,Varginha,Rich Flavor,Espresso
Catuai,Poços de Caldas,Balanced,Hario V60
SL28,Fazenda Monte Verde,Caramel,Clever
SL34,Fazenda Santa Clara,Full Body,French Press
Pacamara,Fazenda Primavera,Fruity,Italiana
Gesha,Carmo de Minas,Nutty,Espresso
Maragogipe,Varginha,Caramel,Hario V60
Mundo Novo,Fazenda Vista Alegre,Smooth Finish,Clever
Yellow Bourbon,Fazenda Santa Clara,Sweet Aftertaste,French Press
Red Bourbon,Guaxupé,Fruity,Italiana
Ethiopian Heirloom,Lavras,Smooth Finish,Espresso
Villalobos,Santa Rita do Sapucaí,Earthy,Hario V60
Java,Fazenda Santa Clara,Sweet Aftertaste,Clever
Blue Mountain,Fazenda Serrinha,Nutty,French Press
Kona,Fazenda Santa Clara,Smokey,Italiana
Typica,Lavras,Spicy,Espresso
Bourbon,Carmo de Minas,Balanced,Hario V60
Caturra,Fazenda Vista Alegre,Smokey,Clever
Catuai,Araguari,Rich Flavor,French Press
SL28,São Sebastião do Paraíso,Rich Flavor,Italiana
SL34,Araguari,Chocolatey,Espresso
Pacamara,Patrocínio,Balanced,Hario V60
Gesha,Varginha,Earthy,Clever
Maragogipe,Fazenda Boa Esperança,Balanced,French Press
Mundo Novo,São Sebastião do Paraíso,Spicy,Italiana
Yellow Bourbon,Serra Negra,Fruity,Espresso
Red Bourbon,Fazenda Boa Esperança,Bright Acidity,Hario V60
Ethiopian Heirloom,Lavras,Balanced,Clever
Villalobos,Guaxupé,Bright Acidity,French Press
Java,Serra Negra,Bright Acidity,Italiana
Blue Mountain,Serra Negra,Rich Flavor,Espresso
Kona,Fazenda São Luiz,Citrusy,Hario V60
Typica,Fazenda São Luiz,Bright Acidity,Clever
Bourbon,Araguari,Full Body,French Press
Caturra,Carmo de Minas,Earthy,Italiana
Catuai,Fazenda Monte Verde,Rich Flavor,Espresso
SL28,Carmo de Minas,Chocolatey,Hario V60
SL34,Fazenda Santa Clara,Earthy,Clever
Pacamara,Fazenda Santa Clara,Balanced,French Press
Gesha,São Sebastião do Paraíso,Earthy,Italiana
Maragogipe,Fazenda São Luiz,Citrusy,Espresso
Mundo Novo,Santa Rita do Sapucaí,Full Body,Hario V60
Yellow Bourbon,Fazenda Santa Clara,Floral,Clever
Red Bourbon,Fazenda Serrinha,Floral,French Press
Ethiopian Heirloom,Poços de Caldas,Caramel,Italiana
Villalobos,Fazenda Paraíso,Nutty,Espresso
Java,Fazenda Vista Alegre,Citrusy,Hario V60
Blue Mountain,Varginha,Citrusy,Clever
Kona,Itamogi,Rich Flavor,French Press
Typica,Fazenda Primavera,Bright Acidity,Italiana
Bourbon,Fazenda São Luiz,Caramel,Espresso
Caturra,Fazenda Monte Verde,Rich Flavor,Hario V60
Catuai,Fazenda Santa Clara,Nutty,Clever
SL28,Araguari,Earthy,French Press
SL34,Fazenda Primavera,Caramel,Italiana
Pacamara,Fazenda Santa Clara,Spicy,Espresso
Gesha,Fazenda Monte Verde,Floral,Hario V60
Maragogipe,Fazenda São Luiz,Full Body,Clever
Mundo Novo,Poços de Caldas,Floral,French Press
Yellow Bourbon,Fazenda Boa Esperança,Citrusy,Italiana
Red Bourbon,Lavras,Nutty,Espresso
Ethiopian Heirloom,Guaxupé,Floral,Hario V60
Villalobos,Fazenda Primavera,Floral,Clever
Java,Fazenda Vista Alegre,Floral,French Press
Blue Mountain,Fazenda Santa Clara,Fruity,Italiana
Kona,Três Pontas,Full Body,Espresso
Typica,Lavras,Smooth Finish,Hario V60
Bourbon,Fazenda Boa Esperança,Earthy,Clever
Caturra,Três Pontas,Floral,French Press
Catuai,Três Pontas,Balanced,Italiana
SL28,Guaxupé,Fruity,Espresso
SL34,Araguari,Citrusy,Hario V60
Pacamara,Fazenda São Luiz,Nutty,Clever
Gesha,Fazenda Santa Clara,Chocolatey,French Press
Maragogipe,Três Pontas,Bright Acidity,Italiana
Mundo Novo,Itamogi,Earthy,Espresso
Yellow Bourbon,Serra Negra,Bright Acidity,Hario V60
Red Bourbon,Fazenda Serrinha,Earthy,Clever
Ethiopian Heirloom,Carmo de Minas,Bright Acidity,French Press
Villalobos,Carmo de Minas,Floral,Italiana
Java,Fazenda Boa Esperança,Floral,Espresso
Blue Mountain,Fazenda Monte Verde,Fruity,Hario V60
Kona,Fazenda Serrinha,Nutty,Clever
Typica,Lavras,Full Body,French Press
Bourbon,Santa Rita do Sapucaí,Fruity,Italiana
Caturra,Araguari,Caramel,Espresso
Catuai,São Sebastião do Paraíso,Nutty,Hario V60
SL28,Fazenda Monte Verde,Bright Acidity,Clever
SL34,Fazenda Monte Verde,Spicy,French Press
Pacamara,Patrocínio,Citrusy,Italiana
Gesha,Itamogi,Full Body,Espresso
Maragogipe,Carmo de Minas,Sweet Aftertaste,Hario V60
Mundo Novo,Três Pontas,Fruity,Clever
Yellow Bourbon,Guaxupé,Bright Acidity,French Press
Red Bourbon,Lavras,Citrusy,Italiana
Ethiopian Heirloom,Santa Rita do Sapucaí,Rich Flavor,Espresso
Villalobos,Carmo de Minas,Nutty,Hario V60
Java,Itamogi,Floral,Clever
Blue Mountain,Santa Rita do Sapucaí,Spicy,French Press
Kona,Varginha,Spicy,Italiana
Typica,Três Pontas,Floral,Espresso
Bourbon,Araguari,Full Body,Hario V60
Caturra,Lavras,Earthy,Clever
Catuai,Varginha,Smooth Finish,French Press
SL28,Fazenda Primavera,Bright Acidity,Italiana
SL34,Varginha,Fruity,Espresso
Pacamara,Três Pontas,Spicy,Hario V60
Gesha,Lavras,Floral,Clever
Maragogipe,Três Pontas,Fruity,French Press
Mundo Novo,Lavras,Fruity,Italiana
Yellow Bourbon,Fazenda Santa Clara,Full Body,Espresso
Red Bourbon,Guaxupé,Sweet Aftertaste,Hario V60
Ethiopian Heirloom,Fazenda São Luiz,Chocolatey,Clever
Villalobos,São Sebastião do Paraíso,Smokey,French Press
Java,Fazenda São Luiz,Smooth Finish,Italiana
Blue Mountain,Carmo de Minas,Chocolatey,Espresso
Kona,Santa Rita do Sapucaí,Bright Acidity,Hario V60
Typica,Fazenda Vista Alegre,Smokey,Clever
Bourbon,Fazenda São Luiz,Caramel,French Press
Caturra,Fazenda São Luiz,Earthy,Italiana
Catuai,Carmo de Minas,Floral,Espresso
SL28,Carmo de Minas,Nutty,Hario V60
SL34,Patrocínio,Balanced,Clever
Pacamara,Fazenda Vista Alegre,Full Body,French Press
Gesha,Fazenda Paraíso,Caramel,Italiana
Maragogipe,Itamogi,Citrusy,Espresso
Mundo Novo,Fazenda Vista Alegre,Balanced,Hario V60
Yellow Bourbon,Santa Rita do Sapucaí,Balanced,Clever
Red Bourbon,Fazenda Primavera,Smokey,French Press
Ethiopian Heirloom,Santa Rita do Sapucaí,Sweet Aftertaste,Italiana
Villalobos,Itamogi,Smokey,Espresso
Java,Varginha,Citrusy,Hario V60
Blue Mountain,São Sebastião do Paraíso,Rich Flavor,Clever
Kona,Araguari,Full Body,French Press
Typica,Itamogi,Bright Acidity,Italiana
Bourbon,Três Pontas,Rich Flavor,Espresso
Caturra,Poços de Caldas,Earthy,Hario V60
Catuai,Fazenda Boa Esperança,Rich Flavor,Clever
SL28,Fazenda Serrinha,Nutty,French Press
SL34,Fazenda Serrinha,Fruity,Italiana
Pacamara,Fazenda Vista Alegre,Bright Acidity,Espresso
Gesha,Fazenda Paraíso,Chocolatey,Hario V60
Maragogipe,Poços de Caldas,Citrusy,Clever
Mundo Novo,Fazenda Santa Clara,Floral,French Press
Yellow Bourbon,Araguari,Fruity,Italiana
Red Bourbon,Serra Negra,Full Body,Espresso
Ethiopian Heirloom,Patrocínio,Balanced,Hario V60
Villalobos,Varginha,Chocolatey,Clever
Java,Fazenda Boa Esperança,Balanced,French Press
Blue Mountain,Fazenda Monte Verde,Earthy,Italiana
Kona,Fazenda Santa Clara,Bright Acidity,Espresso
Typica,Fazenda Primavera,Balanced,Hario V60
Bourbon,Serra Negra,Smooth Finish,Clever
Caturra,Guaxupé,Caramel,French Press
Catuai,São Sebastião do Paraíso,Full Body,Italiana
SL28,Araguari,Rich Flavor,Espresso
SL34,Santa Rita do Sapucaí,Nutty,Hario V60
Pacamara,Serra Negra,Chocolatey,Clever
Gesha,Itamogi,Citrusy,French Press
Maragogipe,Fazenda São Luiz,Smokey,Italiana
Mundo Novo,Santa Rita do Sapucaí,Fruity,Espresso
Yellow Bourbon,Fazenda Vista Alegre,Floral,Hario V60
Red Bourbon,Patrocínio,Earthy,Clever
Ethiopian Heirloom,Guaxupé,Floral,French Press
Villalobos,Fazenda Serrinha,Earthy,Italiana
Java,Três Pontas,Earthy,Espresso
Blue Mountain,Serra Negra,Floral,Hario V60
Kona,Fazenda Santa Clara,Smooth Finish,Clever
Typica,Fazenda Primavera,Caramel,French Press
Bourbon,Itamogi,Chocolatey,Italiana
Caturra,Fazenda São Luiz,Smokey,Espresso
Catuai,Patrocínio,Balanced,Hario V60
SL28,Itamogi,Rich Flavor,Clever
SL34,Serra Negra,Chocolatey,French Press
Pacamara,São Sebastião do Paraíso,Rich Flavor,Italiana
Gesha,Fazenda Santa Clara,Chocolatey,Espresso
Maragogipe,São Sebastião do Paraíso,Floral,Hario V60
Mundo Novo,Fazenda Paraíso,Chocolatey,Clever
Yellow Bourbon,São Sebastião do Paraíso,Spicy,French Press
Red Bourbon,Itamogi,Smokey,Italiana
Ethiopian Heirloom,Guaxupé,Smokey,Espresso
Villalobos,Patrocínio,Nutty,Hario V60
Java,São Sebastião do Paraíso,Smokey,Clever
Blue Mountain,Araguari,Citrusy,French Press
Kona,Varginha,Nutty,Italiana
Typica,Fazenda Boa Esperança,Smokey,Espresso
Bourbon,Fazenda Serrinha,Caramel,Hario V60
Caturra,Patrocínio,Bright Acidity,Clever
Catuai,Fazenda Santa Clara,Nutty,French Press
SL28,Varginha,Nutty,Italiana
SL34,Fazenda São Luiz,Fruity,Espresso
Pacamara,Guaxupé,Fruity,Hario V60
Gesha,Araguari,Caramel,Clever
Maragogipe,Araguari,Floral,French Press
Mundo Novo,Araguari,Nutty,Italiana
Yellow Bourbon,Varginha,Rich Flavor,Espresso
Red Bourbon,Três Pontas,Earthy,Hario V60
Ethiopian Heirloom,Lavras,Rich Flavor,Clever
Villalobos,Fazenda Boa Esperança,Floral,French Press
Java,Fazenda Serrinha,Smokey,Italiana
Blue Mountain,Varginha,Nutty,Espresso
Kona,Três Pontas,Chocolatey,Hario V60
Typica,Fazenda Paraíso,Balanced,Clever
Bourbon,Fazenda Serrinha,Earthy,French Press
Caturra,São Sebastião do Paraíso,Balanced,Italiana
Catuai,Itamogi,Balanced,Espresso
SL28,Itamogi,Bright Acidity,Hario V60
SL34,Fazenda Monte Verde,Full Body,Clever
Pacamara,Poços de Caldas,Caramel,French Press
Gesha,Três Pontas,Rich Flavor,Italiana
Maragogipe,Fazenda Vista Alegre,Sweet Aftertaste,Espresso
Mundo Novo,Carmo de Minas,Citrusy,Hario V60
Yellow Bourbon,Fazenda Paraíso,Bright Acidity,Clever
Red Bourbon,Guaxupé,Balanced,French Press
Ethiopian Heirloom,Fazenda Paraíso,Chocolatey,Italiana
Villalobos,Poços de Caldas,Earthy,Espresso
Java,Araguari,Smokey,Hario V60
Blue Mountain,Serra Negra,Smokey,Clever
Kona,Serra Negra,Floral,French Press
Typica,Fazenda Primavera,Floral,Italiana
Bourbon,Poços de Caldas,Earthy,Espresso
Caturra,Lavras,Chocolatey,Hario V60
Catuai,Fazenda Vista Alegre,Balanced,Clever
SL28,Lavras,Full Body,French Press
SL34,Varginha,Earthy,Italiana
Pacamara,Araguari,Earthy,Espresso
Gesha,Carmo de Minas,Bright Acidity,Hario V60
Maragogipe,Fazenda Boa Esperança,Balanced,Clever
Mundo Novo,Guaxupé,Nutty,French Press
Yellow Bourbon,Serra Negra,Spicy,Italiana
Red Bourbon,Itamogi,Balanced,Espresso
Ethiopian Heirloom,Fazenda Serrinha,Fruity,Hario V60
Villalobos,Fazenda Vista Alegre,Fruity,Clever
Java,Santa Rita do Sapucaí,Smokey,French Press
Blue Mountain,Lavras,Caramel,Italiana
Kona,Guaxupé,Bright Acidity,Espresso
Typica,Santa Rita do Sapucaí,Nutty,Hario V60
Bourbon,Poços de Caldas,Spicy,Clever
Caturra,Poços de Caldas,Rich Flavor,French Press
Catuai,Fazenda Santa Clara,Citrusy,Italiana
SL28,Fazenda Primavera,Caramel,Espresso
SL34,Três Pontas,Chocolatey,Hario V60
Pacamara,Carmo de Minas,Smooth Finish,Clever
Gesha,Fazenda São Luiz,Nutty,French Press
Maragogipe,Patrocínio,Fruity,Italiana
Mundo Novo,Fazenda Boa Esperança,Nutty,Espresso
Yellow Bourbon,Fazenda Primavera,Bright Acidity,Hario V60
Red Bourbon,Lavras,Fruity,Clever
Ethiopian Heirloom,Fazenda Monte Verde,Bright Acidity,French Press
Villalobos,Fazenda Serrinha,Sweet Aftertaste,Italiana
Java,Carmo de Minas,Earthy,Espresso
Blue Mountain,Itamogi,Spicy,Hario V60
Kona,Guaxupé,Rich Flavor,Clever
Typica,Carmo de Minas,Full Body,French Press
Bourbon,Fazenda Paraíso,Caramel,Italiana
Caturra,Fazenda Santa Clara,Smooth Finish,Espresso
Catuai,Serra Negra,Nutty,Hario V60
SL28,Fazenda Monte Verde,Smooth Finish,Clever
SL34,São Sebastião do Paraíso,Smooth Finish,French Press
Pacamara,Patrocínio,Bright Acidity,Italiana
Gesha,Fazenda Monte Verde,Bright Acidity,Espresso
Maragogipe,Fazenda Vista Alegre,Nutty,Hario V60
Mundo Novo,Carmo de Minas,Full Body,Clever
Yellow Bourbon,Varginha,Caramel,French Press
Red Bourbon,Guaxupé,Bright Acidity,Italiana
Ethiopian Heirloom,Fazenda Santa Clara,Nutty,Espresso
Villalobos,São Sebastião do Paraíso,Floral,Hario V60
Java,Fazenda Serrinha,Fruity,Clever
Blue Mountain,Araguari,Smokey,French Press
Kona,Fazenda Serrinha,Chocolatey,Italiana
Typica,Araguari,Full Body,Espresso
Bourbon,Fazenda Santa Clara,Full Body,Hario V60
Caturra,Carmo de Minas,Caramel,Clever
Catuai,Araguari,Fruity,French Press
SL28,Fazenda Monte Verde,Sweet Aftertaste,Italiana
SL34,Fazenda Monte Verde,Earthy,Espresso
Pacamara,Santa Rita do Sapucaí,Citrusy,Hario V60
Gesha,Fazenda Santa Clara,Fruity,Clever
Maragogipe,Patrocínio,Nutty,French Press
Mundo Novo,Fazenda Serrinha,Smooth Finish,Italiana
Yellow Bourbon,Fazenda Boa Esperança,Smooth Finish,Espresso
Red Bourbon,Fazenda Serrinha,Earthy,Hario V60
Ethiopian Heirloom,Fazenda Santa Clara,Full Body,Clever
Villalobos,Fazenda Paraíso,Citrusy,French Press
Java,Lavras,Bright Acidity,Italiana
Blue Mountain,Santa Rita do Sapucaí,Nutty,Espresso
Kona,Fazenda Vista Alegre,Sweet Aftertaste,Hario V60
Typica,Três Pontas,Caramel,Clever
Bourbon,Serra Negra,Earthy,French Press
Caturra,Araguari,Earthy,Italiana
Catuai,Araguari,Chocolatey,Espresso
SL28,Araguari,Full Body,Hario V60
SL34,Fazenda Santa Clara,Citrusy,Clever
Pacamara,Santa Rita do Sapucaí,Smokey,French Press
Gesha,São Sebastião do Paraíso,Smooth Finish,Italiana
Maragogipe,Poços de Caldas,Caramel,Espresso
Mundo Novo,Santa Rita do Sapucaí,Fruity,Hario V60
Yellow Bourbon,Três Pontas,Full Body,Clever
Red Bourbon,Poços de Caldas,Rich Flavor,French Press
Ethiopian Heirloom,Serra Negra,Sweet Aftertaste,Italiana
Villalobos,Patrocínio,Floral,Espresso
Java,Lavras,Sweet Aftertaste,Hario V60
Blue Mountain,Araguari,Earthy,Clever
Kona,São Sebastião do Paraíso,Floral,French Press
Typica,Três Pontas,Full Body,Italiana
Bourbon,Fazenda Vista Alegre,Spicy,Espresso
Caturra,Itamogi,Smokey,Hario V60
Catuai,Fazenda Monte Verde,Caramel,Clever
SL28,Fazenda Paraíso,Bright Acidity,French Press
SL34,Santa Rita do Sapucaí,Sweet Aftertaste,Italiana
Pacamara,Fazenda Monte Verde,Chocolatey,Espresso
Gesha,Fazenda São Luiz,Full Body,Hario V60
Maragogipe,Guaxupé,Floral,Clever
Mundo Novo,Fazenda São Luiz,Bright Acidity,French Press
Yellow Bourbon,Guaxupé,Floral,Italiana
Red Bourbon,Patrocínio,Rich Flavor,Espresso
Ethiopian Heirloom,Santa Rita do Sapucaí,Bright Acidity,Hario V60
Villalobos,Fazenda Boa Esperança,Floral,Clever
Java,São Sebastião do Paraíso,Rich Flavor,French Press
Blue Mountain,Fazenda São Luiz,Fruity,Italiana
Kona,Fazenda Paraíso,Sweet Aftertaste,Espresso
Typica,Poços de Caldas,Bright Acidity,Hario V60
Bourbon,Fazenda Vista Alegre,Spicy,Clever
Caturra,Itamogi,Bright Acidity,French Press
Catuai,Serra Negra,Chocolatey,Italiana
SL28,São Sebastião do Paraíso,Full Body,Espresso
SL34,Lavras,Citrusy,Hario V60
Pacamara,Araguari,Rich Flavor,Clever
Gesha,Três Pontas,Sweet Aftertaste,French Press
Maragogipe,Fazenda Paraíso,Spicy,Italiana
Mundo Novo,Fazenda Monte Verde,Floral,Espresso
Yellow Bourbon,Lavras,Smooth Finish,Hario V60
Red Bourbon,Patrocínio,Nutty,Clever
Ethiopian Heirloom,Fazenda Paraíso,Nutty,French Press
Villalobos,Araguari,Chocolatey,Italiana
Java,Fazenda Primavera,Chocolatey,Espresso
Blue Mountain,Santa Rita do Sapucaí,Floral,Hario V60
